序号,信号时间,方向,6K极值,回调高点,是否有回调高点,回调高点偏移%,ATR,ATR%,突破K收盘价,突破K最低价,突破K最高价,是否成交,是否确认,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,前3K止损,MFE%,MAE%,可能错过涨幅%,可能错过R值,年份
1,2019-09-10 20:00,做空,10183.31,10183.31,是,0.0,276.37,2.714,10179.1,10167.91,10270.58,成交,弱突破,10183.31,10266.22,8961.31,2019-09-10 20:00,10179.1,0,0.015,弱突破平仓,否,,是,0.0,0.0,,,2019
2,2019-09-11 00:00,做空,10167.91,10183.31,是,0.151,267.69,2.633,10026.56,9940.87,10237.41,成交,确认,10183.31,10263.62,8961.31,2019-09-11 08:00,10263.62,2,-0.3,前3K止损,否,,是,1.88,-1.08,,,2019
3,2019-09-12 20:00,做多,10205.46,10205.46,是,0.0,219.29,2.149,10326.58,10170.0,10365.15,成交,确认,10205.46,10139.67,12450.66,2019-09-14 00:00,10218.17,7,0.058,KAMA跟踪止损,否,,否,2.4,-0.19,,,2019
4,2019-09-14 20:00,做多,10355.85,10353.72,是,0.021,169.99,1.642,10358.0,10222.77,10396.4,成交,弱突破,10353.72,10302.72,12631.54,2019-09-14 20:00,10358.0,0,0.025,弱突破平仓,否,,是,0.0,0.0,,,2019
5,2019-09-16 20:00,做空,10252.28,10265.32,是,0.127,130.52,1.273,10120.07,10115.0,10282.03,成交,确认,10265.32,10304.48,9033.48,2019-09-17 04:00,10304.48,2,-0.3,前3K止损,否,,是,1.8,-0.62,,,2019
6,2019-09-19 08:00,做空,10097.92,10097.92,是,0.0,106.74,1.057,9821.97,9530.02,10185.55,成交,确认,10097.92,10129.94,8886.17,2019-09-20 00:00,10008.77,4,-0.443,KAMA跟踪止损,是,9872.38,否,3.14,-0.11,,,2019
7,2019-09-20 04:00,做多,10211.9,9916.0,是,2.898,132.5,1.298,10245.3,10088.91,10331.62,未成交,确认,9916.0,9876.25,12097.52,2019-09-21 12:00,10069.14,8,0.057,KAMA跟踪止损,是,10214.76,否,3.66,0.47,3.66,0.057,2019
8,2019-09-22 08:00,做空,9912.63,9912.63,是,0.0,122.64,1.237,9872.07,9862.81,10001.98,成交,弱突破,9912.63,9949.42,8723.11,2019-09-22 08:00,9872.07,0,0.331,弱突破平仓,否,,是,0.0,0.0,,,2019
9,2019-09-23 20:00,做空,9878.51,9949.2,是,0.716,117.27,1.187,9867.06,9708.91,9951.05,成交,确认,9949.2,9984.38,8755.3,2019-09-25 00:00,8755.3,7,18.253,止盈,是,9701.96,否,13.1,0.66,,,2019
10,2019-09-25 04:00,做空,8645.61,9603.5,是,11.079,173.97,2.012,8495.83,8137.09,8755.44,未成交,确认,9603.5,9655.69,8451.08,2019-09-25 12:00,8451.08,2,7.283,止盈,是,8565.61,是,14.61,9.15,14.61,7.283,2019
11,2019-09-26 20:00,做空,8223.71,8316.61,是,1.13,200.85,2.442,7921.82,7825.89,8438.88,成交,确认,8316.61,8376.86,7318.62,2019-09-28 04:00,8202.83,8,-0.503,KAMA跟踪止损,是,7988.08,否,7.41,0.68,,,2019
12,2019-09-29 20:00,做空,8001.14,8038.28,是,0.464,183.36,2.292,7965.7,7888.98,8078.05,成交,弱突破,8038.28,8093.29,7073.69,2019-09-29 20:00,7965.7,0,0.396,弱突破平仓,否,,是,0.0,0.0,,,2019
13,2019-09-30 12:00,做空,7888.98,7888.98,是,0.0,177.5,2.25,7792.82,7709.01,7974.75,成交,确认,7888.98,7942.23,6942.3,2019-09-30 16:00,7942.23,1,-0.3,前3K止损,否,,是,1.44,-2.6,,,2019
14,2019-09-30 20:00,做多,8127.06,8127.06,是,0.0,188.79,2.323,8280.0,7982.08,8300.66,成交,确认,8127.06,8070.42,9915.01,2019-10-02 08:00,8220.92,9,0.497,KAMA跟踪止损,否,,否,4.58,0.43,,,2019
15,2019-10-02 12:00,做空,8201.0,,否,,185.67,2.264,8194.52,8149.35,8262.25,成交,弱突破,8201.0,8256.7,7216.88,2019-10-02 12:00,8194.52,0,0.035,弱突破平仓,否,,是,0.0,0.0,,,2019
16,2019-10-03 20:00,做空,8177.29,8209.18,是,0.39,158.92,1.943,8104.71,8020.0,8243.0,成交,确认,8209.18,8256.86,7224.08,2019-10-04 04:00,8256.86,2,-0.3,前3K止损,否,,是,1.5,-0.8,,,2019
17,2019-10-05 16:00,做空,8080.81,8117.04,是,0.448,136.39,1.688,8077.76,8066.0,8109.43,未成交,弱突破,8117.04,8157.96,7143.0,2019-10-05 16:00,8077.76,0,0.288,弱突破平仓,否,,是,0.0,0.0,0,0.288,2019
18,2019-10-06 12:00,做空,8009.0,8010.0,是,0.012,126.21,1.576,7958.19,7889.64,8073.19,成交,弱突破,8010.0,8047.86,7048.8,2019-10-06 12:00,7958.19,0,0.411,弱突破平仓,否,,是,0.0,0.0,,,2019
19,2019-10-09 20:00,做多,8242.52,8206.0,是,0.443,128.28,1.556,8550.09,8159.77,8700.0,成交,确认,8206.0,8167.52,10011.32,2019-10-10 20:00,8424.97,6,0.527,KAMA跟踪止损,是,8576.37,否,5.59,2.6,,,2019
20,2019-10-11 12:00,做空,8419.34,8419.34,是,0.0,134.46,1.597,8385.26,8332.6,8788.0,成交,弱突破,8419.34,8459.68,7409.02,2019-10-11 12:00,8385.26,0,0.253,弱突破平仓,否,,是,0.0,0.0,,,2019
21,2019-10-11 16:00,做空,8332.6,8419.34,是,1.041,150.51,1.806,8295.88,8280.0,8386.61,未成交,确认,8419.34,8464.49,7409.02,2019-10-12 20:00,8368.6,7,0.337,KAMA跟踪止损,否,,否,2.49,0.26,2.49,0.337,2019
22,2019-10-13 20:00,做多,8397.45,8395.0,是,0.029,116.32,1.385,8401.39,8342.55,8440.0,成交,弱突破,8395.0,8360.1,10241.9,2019-10-13 20:00,8401.39,0,0.055,弱突破平仓,否,,是,0.0,0.0,,,2019
23,2019-10-14 04:00,做空,8277.32,8316.06,是,0.468,112.52,1.359,8274.66,8137.3,8430.0,成交,弱突破,8316.06,8349.82,7318.13,2019-10-14 04:00,8274.66,0,0.368,弱突破平仓,否,,是,0.0,0.0,,,2019
24,2019-10-16 00:00,做空,8205.02,8251.16,是,0.562,107.7,1.313,8177.46,8080.0,8321.4,成交,确认,8251.16,8283.47,7261.02,2019-10-17 16:00,8031.09,10,2.315,KAMA跟踪止损,是,8060.33,否,4.25,0.81,,,2019
25,2019-10-18 12:00,做空,7930.0,8015.23,是,1.075,97.74,1.233,7909.6,7821.01,8072.02,成交,确认,8015.23,8044.55,7053.4,2019-10-19 16:00,7996.61,7,0.191,KAMA跟踪止损,否,,否,2.54,0.05,,,2019
26,2019-10-21 00:00,做多,8041.19,7980.04,是,0.76,97.57,1.213,8229.17,8007.0,8234.01,未成交,确认,7980.04,7950.77,9735.65,2019-10-22 20:00,8186.34,11,1.787,KAMA跟踪止损,是,8218.23,否,4.44,2.13,4.44,1.787,2019
27,2019-10-23 04:00,做空,8160.0,8164.78,是,0.059,92.66,1.136,8020.89,8000.0,8170.08,成交,确认,8164.78,8192.58,7185.01,2019-10-24 00:00,7185.01,5,18.864,止盈,是,7953.2,否,12.15,1.43,,,2019
28,2019-10-25 16:00,做多,7495.81,7468.27,是,0.367,111.27,1.484,7575.06,7440.0,7638.51,成交,确认,7468.27,7434.89,9111.29,2019-10-26 08:00,9111.29,4,22.376,止盈,是,8264.52,否,39.37,1.41,,,2019
29,2019-10-28 00:00,做多,9666.0,,否,,303.54,3.14,9719.99,9381.34,9803.83,成交,弱突破,9666.0,9574.94,11792.52,2019-10-28 00:00,9719.99,0,0.178,弱突破平仓,否,,是,0.0,0.0,,,2019
30,2019-10-29 04:00,做空,9254.47,,否,,300.28,3.245,9217.36,9156.03,9494.0,成交,弱突破,9254.47,9344.55,8143.93,2019-10-29 04:00,9217.36,0,0.124,弱突破平仓,否,,是,0.0,0.0,,,2019
31,2019-11-02 20:00,做多,9270.0,9267.83,是,0.023,190.33,2.053,9320.0,9204.0,9375.0,成交,弱突破,9267.83,9210.73,11306.75,2019-11-02 20:00,9320.0,0,0.274,弱突破平仓,否,,是,0.0,0.0,,,2019
32,2019-11-03 16:00,做空,9200.01,9266.0,是,0.717,168.51,1.832,9160.31,9107.43,9250.4,未成交,确认,9266.0,9316.55,8154.08,2019-11-04 16:00,9235.58,6,0.181,KAMA跟踪止损,否,,否,2.08,-0.02,2.08,0.181,2019
33,2019-11-04 20:00,做多,9268.0,9240.0,是,0.302,148.55,1.603,9292.66,9231.3,9320.0,成交,弱突破,9240.0,9195.44,11272.8,2019-11-04 20:00,9292.66,0,0.355,弱突破平仓,否,,是,0.0,0.0,,,2019
34,2019-11-05 04:00,做多,9323.76,9240.0,是,0.898,142.18,1.525,9395.46,9261.41,9550.0,未成交,确认,9240.0,9197.35,11272.8,2019-11-05 12:00,9197.35,2,-0.3,前3K止损,否,,是,2.35,-0.82,2.35,-0.3,2019
35,2019-11-07 16:00,做空,9220.0,9259.48,是,0.428,131.63,1.428,9206.51,9163.89,9275.0,成交,弱突破,9259.48,9298.97,8148.34,2019-11-07 16:00,9206.51,0,0.402,弱突破平仓,否,,是,0.0,0.0,,,2019
36,2019-11-08 16:00,做空,9091.2,9091.2,是,0.0,126.52,1.392,9033.3,8938.81,9184.73,成交,弱突破,9091.2,9129.16,8000.26,2019-11-08 16:00,9033.3,0,0.458,弱突破平仓,否,,是,0.0,0.0,,,2019
37,2019-11-08 20:00,做空,8938.81,9091.2,是,1.705,132.49,1.482,8821.33,8669.85,9040.92,未成交,确认,9091.2,9130.95,8000.26,2019-11-09 20:00,8870.83,6,1.164,KAMA跟踪止损,是,8804.73,否,4.08,2.1,4.08,1.164,2019
38,2019-11-11 00:00,做多,8889.02,8889.02,是,0.0,118.01,1.328,9049.13,8792.01,9187.0,成交,确认,8889.02,8853.62,10844.6,2019-11-11 12:00,8853.62,3,-0.3,前3K止损,否,,是,2.37,-1.9,,,2019
39,2019-11-14 12:00,做空,8712.0,8732.0,是,0.23,107.17,1.23,8667.46,8649.4,8769.0,成交,确认,8732.0,8764.15,7684.16,2019-11-15 16:00,8666.7,7,-0.421,KAMA跟踪止损,是,8556.28,否,2.49,-0.55,,,2019
40,2019-11-15 20:00,做空,8515.0,8515.0,是,0.0,104.97,1.233,8476.55,8380.0,8685.0,成交,弱突破,8515.0,8546.49,7493.2,2019-11-15 20:00,8476.55,0,0.366,弱突破平仓,否,,是,0.0,0.0,,,2019
41,2019-11-17 12:00,做空,8453.69,8455.0,是,0.015,93.47,1.106,8427.14,8382.87,8492.0,成交,弱突破,8455.0,8483.04,7440.4,2019-11-17 12:00,8427.14,0,0.298,弱突破平仓,否,,是,0.0,0.0,,,2019
42,2019-11-18 20:00,做空,8417.0,8417.0,是,0.0,95.59,1.136,8410.0,8372.07,8465.33,成交,弱突破,8417.0,8445.68,7406.96,2019-11-18 20:00,8410.0,0,0.073,弱突破平仓,否,,是,0.0,0.0,,,2019
43,2019-11-19 00:00,做空,8372.07,8417.0,是,0.537,95.48,1.14,8211.8,8050.0,8434.0,成交,确认,8417.0,8445.64,7406.96,2019-11-20 00:00,8149.97,6,3.145,KAMA跟踪止损,是,8183.26,否,4.95,2.11,,,2019
44,2019-11-21 16:00,做空,8037.5,8067.0,是,0.367,96.51,1.201,7871.42,7855.0,8091.44,成交,确认,8067.0,8095.95,7098.96,2019-11-22 16:00,7668.97,6,3.675,KAMA跟踪止损,是,7625.58,否,14.22,1.88,,,2019
45,2019-11-24 20:00,做空,7079.13,7132.27,是,0.751,164.57,2.325,6979.96,6941.29,7202.96,成交,确认,7132.27,7181.64,6276.4,2019-11-25 20:00,6974.71,6,-0.948,KAMA跟踪止损,是,6661.2,否,8.72,-2.09,,,2019
46,2019-11-27 20:00,做多,7221.77,7171.75,是,0.693,194.13,2.688,7300.02,7113.4,7433.0,成交,确认,7171.75,7113.51,8749.54,2019-11-29 04:00,7384.04,8,0.168,KAMA跟踪止损,是,7563.68,否,6.94,0.52,,,2019
47,2019-11-29 20:00,做多,7643.0,7618.0,是,0.327,185.19,2.423,7803.96,7400.0,7810.6,成交,确认,7618.0,7562.44,9293.96,2019-11-30 20:00,7618.0,6,0.0,KAMA跟踪止损,否,,否,3.05,-1.4,,,2019
48,2019-12-01 00:00,做空,7511.11,7660.0,是,1.982,177.59,2.364,7504.35,7444.18,7614.0,未成交,确认,7660.0,7713.28,6740.8,2019-12-01 20:00,7404.23,5,0.779,KAMA跟踪止损,是,7286.85,否,5.71,1.28,5.71,0.779,2019
49,2019-12-04 08:00,做空,7231.35,7261.29,是,0.414,138.88,1.921,7145.99,7092.97,7291.52,成交,确认,7261.29,7302.95,6389.94,2019-12-04 20:00,7302.95,3,-0.3,前3K止损,否,,是,2.63,-7.42,,,2019
50,2019-12-08 08:00,做空,7467.44,7467.44,是,0.0,132.75,1.778,7403.21,7376.0,7497.66,成交,弱突破,7467.44,7507.26,6571.35,2019-12-08 08:00,7403.21,0,0.484,弱突破平仓,否,,是,0.0,0.0,,,2019
51,2019-12-09 20:00,做空,7434.57,7493.63,是,0.794,111.57,1.501,7423.47,7388.0,7676.48,成交,确认,7493.63,7527.1,6594.39,2019-12-11 20:00,7251.21,12,2.009,KAMA跟踪止损,是,7232.93,否,5.02,0.52,,,2019
52,2019-12-14 16:00,做空,7203.43,7231.0,是,0.383,79.79,1.108,7183.45,7141.0,7250.0,成交,确认,7231.0,7254.94,6363.28,2019-12-15 12:00,7139.44,5,0.118,KAMA跟踪止损,是,7057.31,否,3.13,0.48,,,2019
53,2019-12-17 00:00,做空,7037.03,7037.03,是,0.0,79.89,1.135,6900.0,6831.0,7111.03,成交,确认,7037.03,7061.0,6192.59,2019-12-18 20:00,6707.45,11,6.379,KAMA跟踪止损,是,6887.54,否,8.67,1.38,,,2019
54,2019-12-19 00:00,做多,6868.29,6720.0,是,2.159,117.62,1.713,6951.33,6765.98,6964.68,未成交,确认,6720.0,6684.71,8198.4,2019-12-24 00:00,7461.24,30,7.865,KAMA跟踪止损,是,7277.44,否,14.45,3.23,14.45,7.865,2019
55,2019-12-24 04:00,做空,7342.28,7452.0,是,1.494,118.87,1.619,7314.01,7262.0,7431.08,未成交,确认,7452.0,7487.66,6557.76,2019-12-27 00:00,7288.37,17,1.164,KAMA跟踪止损,是,7263.07,否,4.41,0.18,4.41,1.164,2019
56,2019-12-27 16:00,做空,7151.0,7151.0,是,0.0,106.61,1.491,7132.01,7078.89,7205.0,成交,弱突破,7151.0,7182.98,6292.88,2019-12-27 16:00,7132.01,0,0.178,弱突破平仓,否,,是,0.0,0.0,,,2019
57,2019-12-28 08:00,做多,7270.0,7238.16,是,0.438,106.92,1.471,7284.59,7235.0,7332.0,成交,弱突破,7238.16,7206.08,8830.56,2019-12-28 08:00,7284.59,0,0.434,弱突破平仓,否,,是,0.0,0.0,,,2019
58,2019-12-29 20:00,做多,7359.15,7348.0,是,0.152,89.83,1.221,7391.22,7322.26,7415.0,成交,弱突破,7348.0,7321.05,8964.56,2019-12-29 20:00,7391.22,0,0.481,弱突破平仓,否,,是,0.0,0.0,,,2019
59,2019-12-30 00:00,做多,7415.0,7348.0,是,0.904,89.98,1.213,7465.92,7377.48,7478.89,未成交,确认,7348.0,7321.01,8964.56,2019-12-30 08:00,7321.01,2,-0.3,前3K止损,否,,是,2.44,-0.58,2.44,-0.3,2019
60,2019-12-30 20:00,做空,7287.25,7322.26,是,0.48,92.33,1.267,7258.26,7252.0,7340.0,成交,确认,7322.26,7349.96,6443.59,2019-12-31 20:00,7313.39,6,0.096,KAMA跟踪止损,否,,否,1.92,0.04,,,2019
61,2020-01-01 00:00,做空,7181.78,7190.0,是,0.114,85.35,1.188,7168.24,7141.0,7221.75,成交,弱突破,7190.0,7215.6,6327.2,2020-01-01 00:00,7168.24,0,0.255,弱突破平仓,否,,是,0.0,0.0,,,2019
62,2020-01-02 08:00,做空,7170.15,7174.0,是,0.054,75.94,1.059,7127.29,7121.0,7209.59,成交,确认,7174.0,7196.78,6313.12,2020-01-03 12:00,7086.8,7,-0.265,KAMA跟踪止损,是,6979.44,否,4.33,-1.76,,,2020
63,2020-01-03 16:00,做多,7300.0,7143.29,是,2.147,94.5,1.294,7338.11,7198.0,7368.33,未成交,确认,7143.29,7114.94,8714.81,2020-01-06 04:00,7352.3,15,2.596,KAMA跟踪止损,是,7316.01,否,4.92,1.2,4.92,2.596,2020
64,2020-01-06 08:00,做多,7495.0,7495.0,是,0.0,93.03,1.241,7538.65,7345.0,7580.08,成交,弱突破,7495.0,7467.09,9143.9,2020-01-06 08:00,7538.65,0,0.469,弱突破平仓,否,,是,0.0,0.0,,,2020
65,2020-01-07 04:00,做多,7611.81,7580.08,是,0.417,96.04,1.262,7757.39,7533.0,7808.65,成交,确认,7580.08,7551.27,9247.7,2020-01-09 00:00,8141.71,11,8.38,KAMA跟踪止损,是,7898.59,否,11.72,2.02,,,2020
66,2020-01-10 20:00,做多,8006.83,7855.0,是,1.896,152.6,1.906,8066.68,7808.32,8088.0,成交,确认,7855.0,7809.22,9583.1,2020-01-12 04:00,8010.19,8,-0.273,KAMA跟踪止损,是,8207.09,否,5.57,0.74,,,2020
67,2020-01-14 08:00,做多,8200.0,8135.93,是,0.781,127.66,1.557,8469.84,8109.02,8485.0,成交,确认,8135.93,8097.63,9925.83,2020-01-15 12:00,8671.82,7,5.422,KAMA跟踪止损,是,8515.53,否,9.62,4.08,,,2020
68,2020-01-17 12:00,做多,8843.49,8793.77,是,0.562,155.69,1.761,8944.5,8765.0,9020.0,成交,确认,8793.77,8747.06,10728.4,2020-01-19 16:00,8891.39,13,-1.131,KAMA跟踪止损,是,9165.18,否,4.68,-3.28,,,2020
69,2020-01-22 00:00,做空,8608.71,8612.51,是,0.044,137.05,1.592,8536.51,8448.6,8669.0,成交,确认,8612.51,8653.62,7579.01,2020-01-22 04:00,8653.62,1,-0.3,前3K止损,否,,是,0.91,-2.06,,,2020
70,2020-01-23 16:00,做空,8504.0,,否,,129.26,1.52,8433.81,8404.68,8625.0,成交,确认,8504.0,8542.78,7483.52,2020-01-24 20:00,8444.39,7,0.461,KAMA跟踪止损,否,,否,3.02,-0.19,,,2020
71,2020-01-26 16:00,做多,8425.0,8425.0,是,0.0,112.42,1.334,8481.78,8386.39,8488.0,成交,确认,8425.0,8391.27,10278.5,2020-01-27 16:00,8582.95,6,1.154,KAMA跟踪止损,是,8611.21,否,4.02,0.2,,,2020
72,2020-01-27 20:00,做多,8764.0,,否,,110.61,1.262,8780.28,8707.0,8794.13,成交,弱突破,8764.0,8730.82,10692.08,2020-01-27 20:00,8780.28,0,0.147,弱突破平仓,否,,是,0.0,0.0,,,2020
73,2020-01-28 00:00,做多,8794.13,,否,,109.44,1.244,8934.04,8752.0,8989.37,成交,确认,8794.13,8761.3,10728.84,2020-01-28 16:00,8954.09,4,-0.096,KAMA跟踪止损,是,9124.53,否,4.35,1.15,,,2020
74,2020-01-29 04:00,做多,9207.81,9176.68,是,0.338,134.36,1.459,9398.98,9017.46,9436.06,成交,确认,9176.68,9136.37,11195.55,2020-01-30 08:00,9223.66,7,-0.962,KAMA跟踪止损,是,9399.96,否,3.09,0.37,,,2020
75,2020-01-31 00:00,做多,9460.52,9460.52,是,0.0,142.28,1.504,9515.38,9223.0,9545.08,成交,弱突破,9460.52,9417.84,11541.83,2020-01-31 00:00,9515.38,0,0.386,弱突破平仓,否,,是,0.0,0.0,,,2020
76,2020-02-02 08:00,做空,9306.0,9306.0,是,0.0,129.36,1.39,9274.37,9252.66,9394.01,成交,弱突破,9306.0,9344.81,8189.28,2020-02-02 08:00,9274.37,0,0.245,弱突破平仓,否,,是,0.0,0.0,,,2020
77,2020-02-02 16:00,做多,9438.07,9421.4,是,0.177,135.26,1.433,9442.87,9355.5,9459.99,成交,弱突破,9421.4,9380.82,11494.11,2020-02-02 16:00,9442.87,0,0.159,弱突破平仓,否,,是,0.0,0.0,,,2020
78,2020-02-03 20:00,做空,9290.0,9290.0,是,0.0,136.18,1.466,9283.16,9280.0,9378.82,成交,弱突破,9290.0,9330.85,8175.2,2020-02-03 20:00,9283.16,0,0.05,弱突破平仓,否,,是,0.0,0.0,,,2020
79,2020-02-04 16:00,做空,9226.4,9250.0,是,0.256,127.65,1.384,9193.76,9114.0,9305.0,成交,弱突破,9250.0,9288.29,8140.0,2020-02-04 16:00,9193.76,0,0.441,弱突破平仓,否,,是,0.0,0.0,,,2020
80,2020-02-05 16:00,做多,9307.78,9305.0,是,0.03,120.41,1.294,9423.0,9237.4,9430.0,成交,确认,9305.0,9268.88,11352.1,2020-02-07 04:00,9675.07,9,4.525,KAMA跟踪止损,是,9500.27,否,6.22,1.27,,,2020
81,2020-02-08 08:00,做空,9736.66,9743.21,是,0.067,124.85,1.282,9726.32,9680.55,9837.31,成交,弱突破,9743.21,9780.67,8574.02,2020-02-08 08:00,9726.32,0,0.135,弱突破平仓,否,,是,0.0,0.0,,,2020
82,2020-02-09 04:00,做多,9898.57,9840.0,是,0.592,121.11,1.224,9906.43,9838.06,9956.0,成交,确认,9840.0,9803.67,12004.8,2020-02-10 12:00,10056.22,8,1.764,KAMA跟踪止损,是,10058.79,否,3.8,-0.91,,,2020
83,2020-02-11 08:00,做空,9750.0,9782.1,是,0.329,133.29,1.367,9749.24,9733.0,9874.77,成交,弱突破,9782.1,9822.09,8608.25,2020-02-11 08:00,9749.24,0,0.247,弱突破平仓,否,,是,0.0,0.0,,,2020
84,2020-02-11 20:00,做多,9931.89,9874.77,是,0.575,127.88,1.288,10204.39,9799.88,10240.0,成交,确认,9874.77,9836.41,12047.22,2020-02-13 16:00,10276.4,11,3.054,KAMA跟踪止损,是,10287.46,否,6.46,2.29,,,2020
85,2020-02-15 20:00,做空,10203.98,10233.0,是,0.284,145.71,1.428,9982.18,9752.3,10271.0,成交,确认,10233.0,10276.71,9005.04,2020-02-17 04:00,9988.04,8,1.112,KAMA跟踪止损,是,9905.12,否,5.93,1.3,,,2020
86,2020-02-18 20:00,做多,9821.0,,否,,166.41,1.694,9837.99,9598.0,9876.4,成交,弱突破,9821.0,9771.08,11981.62,2020-02-18 20:00,9837.99,0,0.102,弱突破平仓,否,,是,0.0,0.0,,,2020
87,2020-02-19 00:00,做多,9876.4,,否,,172.01,1.742,10053.0,9830.0,10060.0,成交,确认,9876.4,9824.8,12049.21,2020-02-20 04:00,10048.03,7,0.264,KAMA跟踪止损,是,10174.32,否,4.15,-5.91,,,2020
88,2020-02-21 08:00,做多,9700.0,9654.64,是,0.468,194.67,2.007,9709.82,9572.06,9720.0,成交,弱突破,9654.64,9596.24,11778.66,2020-02-21 08:00,9709.82,0,0.283,弱突破平仓,否,,是,0.0,0.0,,,2020
89,2020-02-23 08:00,做多,9710.7,9710.7,是,0.0,147.14,1.515,9793.8,9657.0,9805.0,成交,确认,9710.7,9666.56,11847.05,2020-02-24 08:00,9823.66,6,-0.044,KAMA跟踪止损,是,9943.12,否,3.17,-1.55,,,2020
90,2020-02-25 20:00,做空,9487.38,9487.38,是,0.0,151.77,1.6,9404.39,9357.6,9686.78,成交,确认,9487.38,9532.91,8348.89,2020-02-27 20:00,8873.35,12,6.059,KAMA跟踪止损,是,9178.92,否,10.05,0.22,,,2020
91,2020-02-28 16:00,做空,8684.46,8684.46,是,0.0,178.68,2.057,8593.54,8550.0,8787.0,成交,确认,8684.46,8738.06,7642.32,2020-02-29 00:00,8738.06,2,-0.3,前3K止损,否,,是,2.7,-0.66,,,2020
92,2020-03-01 04:00,做空,8576.13,8576.13,是,0.0,173.87,2.027,8531.98,8530.0,8679.89,成交,弱突破,8576.13,8628.29,7546.99,2020-03-01 04:00,8531.98,0,0.254,弱突破平仓,否,,是,0.0,0.0,,,2020
93,2020-03-02 20:00,做多,8779.88,8762.24,是,0.201,163.78,1.865,8828.53,8722.0,8900.0,成交,弱突破,8762.24,8713.11,10689.93,2020-03-02 20:00,8828.53,0,0.405,弱突破平仓,否,,是,0.0,0.0,,,2020
94,2020-03-05 08:00,做多,8853.88,8787.23,是,0.753,139.52,1.576,8878.52,8755.98,8949.34,成交,确认,8787.23,8745.38,10720.42,2020-03-06 20:00,9018.46,9,1.026,KAMA跟踪止损,是,9106.49,否,4.47,0.94,,,2020
95,2020-03-08 00:00,做空,9016.0,9056.1,是,0.445,116.94,1.297,8896.9,8850.0,9204.0,成交,确认,9056.1,9091.18,7969.37,2020-03-09 12:00,7969.37,9,16.027,止盈,是,8756.73,否,15.27,1.37,,,2020
96,2020-03-10 16:00,做多,7996.28,7996.28,是,0.0,171.17,2.141,8068.62,7878.6,8115.0,成交,弱突破,7996.28,7944.93,9755.46,2020-03-10 16:00,8068.62,0,0.423,弱突破平仓,否,,是,0.0,0.0,,,2020
97,2020-03-12 12:00,做空,7575.0,,否,,194.49,2.568,7397.9,7340.0,7666.26,成交,确认,7575.0,7633.35,6666.0,2020-03-12 16:00,6666.0,1,1.447,止盈,是,6038.38,是,31.36,1.39,,,2020
98,2020-03-13 04:00,做空,5199.17,5199.17,是,0.0,317.32,6.103,4764.65,4347.0,6060.0,成交,确认,5199.17,5294.37,4575.27,2020-03-13 08:00,5294.37,1,-0.3,前3K止损,否,,是,30.34,-6.36,,,2020
99,2020-03-16 12:00,做空,5169.6,5207.06,是,0.725,416.82,8.063,4783.83,4757.44,5294.39,成交,确认,5207.06,5332.11,4582.21,2020-03-16 16:00,4582.21,1,1.43,止盈,是,4553.39,是,15.24,5.13,,,2020
100,2020-03-19 16:00,做多,5448.07,,否,,337.78,6.2,5616.23,5365.0,5660.0,成交,弱突破,5448.07,5346.74,6646.65,2020-03-19 16:00,5616.23,0,0.498,弱突破平仓,否,,是,0.0,0.0,,,2020
101,2020-03-19 20:00,做多,5660.0,,否,,335.64,5.93,5887.53,5597.87,5925.0,成交,确认,5660.0,5559.31,6905.2,2020-03-20 16:00,6905.2,5,5.788,止盈,是,6207.57,否,22.1,2.12,,,2020
102,2020-03-23 04:00,做空,5855.68,6100.57,是,4.182,320.52,5.474,5810.17,5730.35,6145.92,成交,确认,6100.57,6196.73,5368.5,2020-03-23 20:00,6100.57,4,0.0,KAMA跟踪止损,否,,否,7.06,-8.51,,,2020
103,2020-03-24 16:00,做多,6689.51,6619.9,是,1.041,313.31,4.684,6732.6,6564.21,6840.0,成交,弱突破,6619.9,6525.91,8076.28,2020-03-24 16:00,6732.6,0,0.36,弱突破平仓,否,,是,0.0,0.0,,,2020
104,2020-03-27 08:00,做多,6777.5,6758.71,是,0.277,248.42,3.665,6790.17,6733.75,6840.0,成交,弱突破,6758.71,6684.18,8245.63,2020-03-27 08:00,6790.17,0,0.127,弱突破平仓,否,,是,0.0,0.0,,,2020
105,2020-03-28 04:00,做空,6566.0,,否,,219.76,3.347,6353.64,6230.0,6689.9,成交,确认,6566.0,6631.93,5778.08,2020-03-30 12:00,6125.55,14,1.938,KAMA跟踪止损,是,6111.06,否,10.9,3.22,,,2020
106,2020-03-30 16:00,做多,6330.0,6163.0,是,2.638,202.24,3.195,6351.23,6230.25,6395.0,未成交,确认,6163.0,6102.33,7518.86,2020-04-01 08:00,6357.73,10,0.963,KAMA跟踪止损,否,,否,7.19,1.25,7.19,0.963,2020
107,2020-04-01 20:00,做空,6240.0,6240.0,是,0.0,170.43,2.731,6225.43,6154.94,6337.0,成交,弱突破,6240.0,6291.13,5491.2,2020-04-01 20:00,6225.43,0,0.085,弱突破平仓,否,,是,0.0,0.0,,,2020
108,2020-04-02 04:00,做多,6492.0,6370.0,是,1.879,166.76,2.569,6641.51,6188.0,6693.0,成交,确认,6370.0,6319.97,7771.4,2020-04-03 20:00,6790.29,10,3.413,KAMA跟踪止损,是,6641.51,否,14.44,2.71,,,2020
